A.H-A.I ; Rue Petite Fontaine ; 6 ; 948.468 ; 44.176000,5.439000 ; 44.176900,5.442000 ; 2 ; 4
A.I-A.J ; Route du Château ; 27 ; 6.655 ; 44.176900,5.442000 ; 44.174850,5.441300 ; 1 ; 4
A.J-A.K ; Soustet de l'Église ; 5 ; 4.575 ; 44.174850,5.441300 ; 44.175350,5.442600 ; 2 ; 4
A.K-A.L ; Route de la Justice ; 29 ; 417.911 ; 44.175350,5.442600 ; 44.174650,5.441000 ; 1 ; 4
A.L-A.M ; La Boucoule ; 9 ; 320.046 ; 44.174650,5.441000 ; 44.176150,5.441600 ; 1 ; 4
A.M-A.N ; Chemin de la Vilette ; 78 ; 514.362 ; 44.176150,5.441600 ; 44.176000,5.441100 ; 2 ; 4
A.N-A.O ; Route du Clôt ; 52 ; 353.111 ; 44.176000,5.441100 ; 44.176300,5.439900 ; 2 ; 4
A.O-A ; Chemin de la Citadelle ; 14 ; 51.0 ; 44.176300,5.439900 ; 44.174745,5.441666 ; 1 ; 4
A-P ; Chemin d’Entressargue-Seramian ; 55 ; 1200.0 ; 44.174745,5.441666 ; 44.187385,5.470729 ; 2 ; 1
B-T ; Rue Notre-Dame ; 35 ; 900.0 ; 44.175994,5.444351 ; 44.176900,5.441300 ; 0 ; 1
C-W ; Route de Ferrassières ; 40 ; 1000.0 ; 44.174459,5.445122 ; 44.178400,5.440600 ; 2 ; 1
D-X ; Montée de la Calade ; 12 ; 800.0 ; 44.175417,5.4398 ; 44.178900,5.441200 ; 0 ; 2
E-Z ; Montée de la Calade ; 10 ; 700.0 ; 44.17571,5.440413 ; 44.174900,5.441100 ; 2 ; 2
F-Q ; Rue Notre-Dame ; 20 ; 850.0 ; 44.175777,5.441776 ; 44.174900,5.438900 ; 0 ; 2
G-N ; Montée de la Saute ; 15 ; 750.0 ; 44.175650,5.441000 ; 44.175189,5.441624 ; 2 ; 3
H-O ; Rue du Beffroi ; 8 ; 720.0 ; 44.175776,5.438574 ; 44.175726,5.440943 ; 0 ; 3
I-A.B ; Calade du Château ; 10 ; 900.0 ; 44.175649,5.439317 ; 44.175300,5.440300 ; 2 ; 3
J-A.C ; Mail du Château ; 6 ; 650.0 ; 44.176372,5.439352 ; 44.175100,5.439300 ; 0 ; 3
K-A.D ; Mail du Château ; 9 ; 700.0 ; 44.176519,5.440152 ; 44.174950,5.440450 ; 2 ; 4
L-A.E ; Mail du Château ; 5 ; 680.0 ; 44.176464,5.440421 ; 44.175500,5.439700 ; 0 ; 4
